#,NO,NC,RI,DC,DP,TH,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO FACET,NO BARRIER
NO,0,2,1,1,5,1,0,3,1,5,3,6,0
NC,2,2,0,0,0,2,0,2,0,1,2,9,0
RI,1,0,0,1,0,1,0,1,0,0,1,3,0
DC,1,0,1,0,0,0,0,0,0,0,1,4,0
DP,5,0,0,0,2,2,0,2,0,7,4,5,0
TH,1,2,1,0,2,0,0,2,0,3,5,11,0
Females motivation,0,0,0,0,0,0,0,0,0,0,0,0,0
Females lower computer self-efficacy,3,2,1,0,2,2,0,0,1,1,1,0,6
Females risk-averse than males,1,0,0,0,0,0,0,1,0,0,0,0,1
Females process information comprehensively,5,1,0,0,7,3,0,1,0,0,0,0,5
Females learn in process-oriented learning styles,3,2,1,1,4,5,0,1,0,0,0,0,5
NO FACET,0,0,0,0,0,0,0,0,0,0,0,0,0
NO BARRIER,0,0,0,0,0,0,0,0,0,0,0,0,0
