#,Finding a task to start with,Finding a mentor,"Poor ""How to contribute""",Newcomers don’t know what is the contribution flow,Lack of Patience,Shyness,Lack of domain expertise,Lack of knowledge in project processes and practice,Knowledge on technologies and tools used,Knowledge of versioning control systems,Receiving answers with too advanced/complex contents,Impolite answers,Not receiving an answer,Delayed Answer,Some newcomers need to contact a real person,Documentation Outdated,Documentation Overload,Documentation Unclear,Documentation Spread,Documentation General,Building workspace locally,Lack of information on how to send a contribution,Getting contribution accepted,Issue to create a patch,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO FACET,NO BARRIER
Finding a task to start with,,,,,,,,,,,,,,,,,,,,"6, 8, 9, 10",,,,,,"4, 8, 10, 10",1,"6, 8, 9, 13",,"1, 2, 3, 4, 10",
Finding a mentor,,,,,,,,,,,,,10,,10,,,,,,,,,,,,,,10,,
"Poor ""How to contribute""",,,,,,,,,,,,,,,,,,,,"4, 4, 8, 9",4,,,,,,,"4, 4, 4","8, 9",,
Newcomers don’t know what is the contribution flow,,,,,,,,"2, 8, 8",8,,,,,,,,,,,,,,,,,,,,8,"2, 8",
Lack of Patience,,,,,,,,,,5,,,,,,,,,,,5,,,,,,,,,"1, 5",
Shyness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lack of domain expertise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10, 10",
Lack of knowledge in project processes and practice,,,,"2, 8, 8",,,,,8,,,,,,,,,,,,,,"13, 13",,,13,,4,"8, 13","2, 3, 8, 13",
Knowledge on technologies and tools used,,,,8,,,,8,,8,,,,,,,,,,,,,,,,10,,,,"1, 1, 6, 8, 8, 8, 8, 8, 10, 10, 11, 13",
Knowledge of versioning control systems,,,,,5,,,,8,,,,,,,,,,,,"5, 5",,,,,,,,8,"5, 5, 8, 8",
Receiving answers with too advanced/complex contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
Impolite answers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not receiving an answer,,10,,,,,,,,,,,,,"10, 10, 10, 10, 10",,,,,,,,"10, 10, 10, 10, 10",,,10,,,10,"5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10",
Delayed Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some newcomers need to contact a real person,,10,,,,,,,,,,,"10, 10, 10, 10, 10",,,,,,,,,,,,,,,,10,"3, 5, 8, 10, 10, 10, 10",
Documentation Outdated,,,,,,,,,,,,,,,,,,,,9,"13, 13",,,,,,,13,"9, 13",10,
Documentation Overload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation Unclear,,,,,,,,,,,,,,,,,,,8,,,,,,,,,8,,"1, 7, 8",
Documentation Spread,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,"8, 8",
Documentation General,"6, 8, 9, 10",,"4, 4, 8, 9",,,,,,,,,,,,,9,,,,,4,,,,,"8, 10",,"4, 4, 6, 7, 7, 8, 9, 10","7, 8, 9, 9","7, 8, 8, 9",
Building workspace locally,,,4,,5,,,,,"5, 5",,,,,,"13, 13",,,,4,,,,,,4,,"4, 6, 13","3, 6, 11, 11, 12, 12, 13","1, 3, 3, 3, 4, 5, 5, 6, 7, 7, 8, 8, 8, 8, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 13, 13, 13",
Lack of information on how to send a contribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
Getting contribution accepted,,,,,,,,"13, 13",,,,,"10, 10, 10, 10, 10",,,,,,,,,,,,,13,,,,"10, 10, 10, 10, 10, 13",
Issue to create a patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females motivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females lower computer self-efficacy,"4, 8, 10, 10",,,,,,,13,10,,,,10,,,,,,,"8, 10",4,,13,,,,4,"8, 8",8,,"4, 6, 7, 7, 8, 8, 8, 8, 8, 8, 10, 11"
Females risk-averse than males,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4
Females process information comprehensively,"6, 8, 9, 13",,"4, 4, 4",,,,,4,,,,,,,,13,,8,,"4, 4, 6, 7, 7, 8, 9, 10","4, 6, 13",,,,,"8, 8",,,,,"4, 4, 8, 8, 9, 10, 10, 11"
Females learn in process-oriented learning styles,,10,"8, 9",8,,,,"8, 13",,8,,,10,,10,"9, 13",,,,"7, 8, 9, 9","3, 6, 11, 11, 12, 12, 13",,,,,8,,,,,"4, 4, 5, 8, 8, 8, 8, 9, 11"
NO FACET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO BARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
