#,Finding a task to start with,Finding a mentor,"Poor ""How to contribute""",Newcomers don’t know what is the contribution flow,Lack of Patience,Shyness,Lack of domain expertise,Lack of knowledge in project processes and practice,Knowledge on technologies and tools used,Knowledge of versioning control systems,Receiving answers with too advanced/complex contents,Impolite answers,Not receiving an answer,Delayed Answer,Some newcomers need to contact a real person,Documentation Outdated,Documentation Overload,Documentation Unclear,Documentation Spread,Documentation General,Building workspace locally,Lack of information on how to send a contribution,Getting contribution accepted,Issue to create a patch,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO FACET,NO BARRIER
Finding a task to start with,,,,,,,,,,,,,,,,,,,,"(Barriers 6, row 14) I researched the bugs I found and did not really find any solutions, and I also did not find anything using FLOSS COACH, but I think that what's in the tool is very well detailed about what to do, the problem is often in the time spent to try again since either performing a step requires a lot of time., (Barriers 8, row 2) I begin to read some issues, and I am scared in the lack of details in some, the first one I opened already has comments in Chinese, feeding even more my fear in this world, still so little known. Within about 8 minutes I realize, that the issues will not give me the details I need, and I need to have a sense of the code structure so that the task makes sense. I feel like I'm not in the right place yet to understand the open issue in detail., (Barriers 9, row 4) The bugs that are listed as open seem to be quite complex, and I had difficulty selecting some to fetch some solution in the code. After a selection attempt, I searched in the code trying to find something, or at least where I should change to fix a bug, but I did not find much most of the time., (Barriers 10, row 9) I also spent an hour looking for feasible bugs, that is, bugs that can be solved by someone who clearly lacks the expertise to handle with a software with more than 100 thousand lines of code, without any documentation for developers.
",,,,,,,,,,"(Barriers 1, row 3) Details:  Since I logged in the FLOSS COACH, I clicked in the “How to Start” link at the top of the page, and then, I clicked in the “Find a task to start with” section. Although I did not update this diary too much, it happened a bit before this date (October/22), when I decided to keep with the junior bug, considered “easy” by the project community. Bugzilla reports this bug but I noticed that FLOSS COACH organizes the bugs and guides very well the newcomers to the project. , (Barriers 1, row 4) Anyway, I will keep with it, because other bugs must be worse, even by name they are difficult to understand., (Barriers 2, row 4) I am facing some difficulties however to integrate myself into the forum that Amarok uses to report bugs and other minor issues, I’m looking for any bugs that are tagged as a “Junior-Job”, so I can do it., (Barriers 3, row 25) That way, I was not able to try to implement the improvement that I had proposed. Thus, I was not able to submit a fix or improvement for community approval. After all, a sum of factors led to such a situation: my difficulties at the outset, just to compile the source code, discouraged me from making more of the contribution. Added to that, the difficulty of finding feasible bugs - and that did not cause trouble to the Audacity community - took longer than expected., (Barriers 4, row 5) After running the software, I used it a bit, since I did not know it. Its graphical interface is simple and seems to tend not to complicate the code very much, which is a positive sign. On the other hand, the bugs and feature requested, found on the project page, are highly complex, requiring, in general, a different operating system or prior knowledge about the process and the file formats it handles, it is difficult to find an error or a feature to be implemented that fits the time I have to devote to this activity, since there are many other homeworks from other subjects to be done in the coming weeks., (Barriers 4, row 16) The general feeling is still one of insecurity, since, despite being accustomed to the project, I still see the bugs reported and feature requests as tasks of high complexity, in addition to the time factor, hampered by other works and materials of my semester., (Barriers 6, row 14) I researched the bugs I found and did not really find any solutions, and I also did not find anything using FLOSS COACH, but I think that what's in the tool is very well detailed about what to do, the problem is often in the time spent to try again since either performing a step requires a lot of time., (Barriers 8, row 2) I begin to read some issues, and I am scared in the lack of details in some, the first one I opened already has comments in Chinese, feeding even more my fear in this world, still so little known. Within about 8 minutes I realize, that the issues will not give me the details I need, and I need to have a sense of the code structure so that the task makes sense. I feel like I'm not in the right place yet to understand the open issue in detail., (Barriers 9, row 4) The bugs that are listed as open seem to be quite complex, and I had difficulty selecting some to fetch some solution in the code. After a selection attempt, I searched in the code trying to find something, or at least where I should change to fix a bug, but I did not find much most of the time., (Barriers 10, row 9) I also spent an hour looking for feasible bugs, that is, bugs that can be solved by someone who clearly lacks the expertise to handle with a software with more than 100 thousand lines of code, without any documentation for developers.
, (Barriers 10, row 11) Of all the bugs marked with this tag on Empathy, only one (yes, only one!) is relatively recent, and is related to the General Gnome Documentation (https://bugzilla.gnome.org/show_bug.cgi?id=724408). , (Barriers 10, row 65) The fact is that the search for another interface bug turned out to be fruitless. There is simply nothing else reported on the subject. Not just about GTK +, but also something that would be doable. With that, I resigned myself. There is no more time to try anything else, nor expect to receive a response from the community.
, (Barriers 13, row 2) I installed the Audacity. I looked for bugs but I did not find them.
",
Finding a mentor,,,,,,,,,,,,,"(Barriers 10, row 8) I must have spent about one hour doing this. I followed the recommended steps from https://wiki.gnome.org/GnomeLove/Mentors and I tried to talk with Guillaume Desmottes using IRC, who ignored me for the time I was online on the GIMPNet #empathy channel. Maybe he was away, or maybe he didn’t want to waste time with an stranger. Unfortunately, he was the only mentor online.",,"(Barriers 10, row 8) I must have spent about one hour doing this. I followed the recommended steps from https://wiki.gnome.org/GnomeLove/Mentors and I tried to talk with Guillaume Desmottes using IRC, who ignored me for the time I was online on the GIMPNet #empathy channel. Maybe he was away, or maybe he didn’t want to waste time with an stranger. Unfortunately, he was the only mentor online.",,,,,,,,,,,,,,,"(Barriers 10, row 8) I must have spent about one hour doing this. I followed the recommended steps from https://wiki.gnome.org/GnomeLove/Mentors and I tried to talk with Guillaume Desmottes using IRC, who ignored me for the time I was online on the GIMPNet #empathy channel. Maybe he was away, or maybe he didn’t want to waste time with an stranger. Unfortunately, he was the only mentor online.",
"Poor ""How to contribute""",,,,,,,,,,,,,,,,,,,,"(Barriers 4, row 3) Like the organization of the information that specifies the collaboration, I noticed one detail that I consider negative: there is no quick and explicit indicator of how to run the JabRef code. There is even a README in the root directory to the code directory, but it also lacks instructions., (Barriers 4, row 11) At first, the intention to read these documents was to find some kind of help that would facilitate compilation and the understanding of the code. This goal was not achieved, but the information was still recorded, and it will be useful in another stage of the project., (Barriers 8, row 44) I'm having a hard time researching, because when I search for ""fixing the libreoffice bug"" and stuff like that, I always come across software manuals, rather than a quick community integration tutorial., (Barriers 9, row 7) I think I managed to evolve well in understanding the code, but in my opinion, a Wiki is missing (there is a wiki in the same place where the code is available, but it is completely empty), or something that helps less experienced developers with the code, to have a basic notion of how things work.","(Barriers 4, row 3) Like the organization of the information that specifies the collaboration, I noticed one detail that I consider negative: there is no quick and explicit indicator of how to run the JabRef code. There is even a README in the root directory to the code directory, but it also lacks instructions.",,,,,,,,,"(Barriers 4, row 1) When I accessed the project page (http://jabref.sourceforge.net/) for the first time, I was confused. Information on how to contribute to the project is in the ""contact"" section of the site while, in my opinion, it should be in a clearer space, such as a new section of the site called ""contribution."", (Barriers 4, row 3) Like the organization of the information that specifies the collaboration, I noticed one detail that I consider negative: there is no quick and explicit indicator of how to run the JabRef code. There is even a README in the root directory to the code directory, but it also lacks instructions., (Barriers 4, row 11) At first, the intention to read these documents was to find some kind of help that would facilitate compilation and the understanding of the code. This goal was not achieved, but the information was still recorded, and it will be useful in another stage of the project., (Barriers 8, row 44) I'm having a hard time researching, because when I search for ""fixing the libreoffice bug"" and stuff like that, I always come across software manuals, rather than a quick community integration tutorial., (Barriers 9, row 7) I think I managed to evolve well in understanding the code, but in my opinion, a Wiki is missing (there is a wiki in the same place where the code is available, but it is completely empty), or something that helps less experienced developers with the code, to have a basic notion of how things work.",
Newcomers don’t know what is the contribution flow,,,,,,,,"(Barriers 2, row 8) My request has been denied by the AMAROK community, and now I need to wait for something else to appear, the guy who gave it to me did not advise me to take bugs first instead of new features right away :(. Time to deliver something, (Barriers 8, row 1) First I search for about 10 minutes on the libreoffice in github, looking for the issues that the document given by the professor commented. In parallel, I also search the official libreoffice website for how to contribute to the project, the following instructions I found will be useful for the programming itself: https://pt.br.libreoffice.org/sobre-nos/codigo-fonte/. The structure of github is still unknown to me, and I'm not sure if the issues I found from libreoffice are from the Writer module that the professor told us to do., (Barriers 8, row 38) The result was the following:
Even having the environment ready for collaboration, I have no idea what my next step will be. I think I'll go back to github and get bugs to fix.","(Barriers 8, row 1) First I search for about 10 minutes on the libreoffice in github, looking for the issues that the document given by the professor commented. In parallel, I also search the official libreoffice website for how to contribute to the project, the following instructions I found will be useful for the programming itself: https://pt.br.libreoffice.org/sobre-nos/codigo-fonte/. The structure of github is still unknown to me, and I'm not sure if the issues I found from libreoffice are from the Writer module that the professor told us to do.",,,,,,,,,,,,,,,,,,,,"(Barriers 8, row 38) The result was the following:
Even having the environment ready for collaboration, I have no idea what my next step will be. I think I'll go back to github and get bugs to fix.","(Barriers 2, row 8) My request has been denied by the AMAROK community, and now I need to wait for something else to appear, the guy who gave it to me did not advise me to take bugs first instead of new features right away :(. Time to deliver something, (Barriers 8, row 1) First I search for about 10 minutes on the libreoffice in github, looking for the issues that the document given by the professor commented. In parallel, I also search the official libreoffice website for how to contribute to the project, the following instructions I found will be useful for the programming itself: https://pt.br.libreoffice.org/sobre-nos/codigo-fonte/. The structure of github is still unknown to me, and I'm not sure if the issues I found from libreoffice are from the Writer module that the professor told us to do.",
Lack of Patience,,,,,,,,,,"(Barriers 5, row 3) I tried to run the project via terminal (around 22:30 PM), but it was too late and I gave up quickly, because I was tired. I got a lot of this installation and I did not get much, tomorrow I will try harder. Again I did not find where I should commit this code.",,,,,,,,,,,"(Barriers 5, row 3) I tried to run the project via terminal (around 22:30 PM), but it was too late and I gave up quickly, because I was tired. I got a lot of this installation and I did not get much, tomorrow I will try harder. Again I did not find where I should commit this code.",,,,,,,,,"(Barriers 1, row 11) I browsed the KDE forums looking for the bug #219102
(https://bugs.kde.org/show_bug.cgi?id=219102), to understand the problem of NOT deleting service files.
Unsuccessfully. I found it hard and gave up., (Barriers 5, row 3) I tried to run the project via terminal (around 22:30 PM), but it was too late and I gave up quickly, because I was tired. I got a lot of this installation and I did not get much, tomorrow I will try harder. Again I did not find where I should commit this code.",
Shyness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lack of domain expertise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Barriers 10, row 41)  I spent a few hours looking at the code, trying to understand what the problem was, which seemed to be exclusively a graphical interface problem, and it encouraged me because I really like this area.
, (Barriers 10, row 44) I was able to fix the problem quickly (after my intuition appeared, of course), but I recognize that things did not happen in a clear way, considering my limitations. Anyway, I decided to post my two-line fix (yes, that's it) on Bugzilla, and I'm waiting for some comments, even without knowing if they will happen (the Empathy community does not seem to be very active).
",
Lack of knowledge in project processes and practice,,,,"(Barriers 2, row 8) My request has been denied by the AMAROK community, and now I need to wait for something else to appear, the guy who gave it to me did not advise me to take bugs first instead of new features right away :(. Time to deliver something, (Barriers 8, row 1) First I search for about 10 minutes on the libreoffice in github, looking for the issues that the document given by the professor commented. In parallel, I also search the official libreoffice website for how to contribute to the project, the following instructions I found will be useful for the programming itself: https://pt.br.libreoffice.org/sobre-nos/codigo-fonte/. The structure of github is still unknown to me, and I'm not sure if the issues I found from libreoffice are from the Writer module that the professor told us to do., (Barriers 8, row 38) The result was the following:
Even having the environment ready for collaboration, I have no idea what my next step will be. I think I'll go back to github and get bugs to fix.",,,,,"(Barriers 8, row 1) First I search for about 10 minutes on the libreoffice in github, looking for the issues that the document given by the professor commented. In parallel, I also search the official libreoffice website for how to contribute to the project, the following instructions I found will be useful for the programming itself: https://pt.br.libreoffice.org/sobre-nos/codigo-fonte/. The structure of github is still unknown to me, and I'm not sure if the issues I found from libreoffice are from the Writer module that the professor told us to do.",,,,,,,,,,,,,,"(Barriers 13, row 28) I am still trying to fix the bug so it works on Windows.  It is frustrating to have fixed it, but not 
be able to submit it because it did not work on Windows.
, (Barriers 13, row 30) I've tried different methods and I still can not fix it. I will try to change the approach to solve the problem. I give up. I do not feel bad, because I know I did my best under the conditions (lack of time, lack of knowledge in C ++ and things about audio). Just to make it clear, I solved part of the bug, it just was not accepted because it did not work on windows.",,,,,,"(Barriers 8, row 38) The result was the following:
Even having the environment ready for collaboration, I have no idea what my next step will be. I think I'll go back to github and get bugs to fix.","(Barriers 2, row 8) My request has been denied by the AMAROK community, and now I need to wait for something else to appear, the guy who gave it to me did not advise me to take bugs first instead of new features right away :(. Time to deliver something, (Barriers 3, row 13) Once I ran 'configure' and 'make', I had a hard time finding out where the 'audacity' executable was (I just found it using 'find. -name audacity' inside my project repository). In my experience with C / C ++ projects, it's really hard to deal with the lack of standardization of project directory structures (which led me to develop my own method of automatically managing such projects: a generalized Makefile inspired by tools like Apache Maven, which I opened as an open project on my GitHub)., (Barriers 4, row 6) 	To compensate for the lack of knowledge about the project, I looked for sources of help during the following days: I checked the PACA (Educational Platform) for questions and answers, I tried to learn more about the FLOSS COACH, since I knew that some colleagues only advanced with the project with the help of the information contained therein., (Barriers 8, row 1) First I search for about 10 minutes on the libreoffice in github, looking for the issues that the document given by the professor commented. In parallel, I also search the official libreoffice website for how to contribute to the project, the following instructions I found will be useful for the programming itself: https://pt.br.libreoffice.org/sobre-nos/codigo-fonte/. The structure of github is still unknown to me, and I'm not sure if the issues I found from libreoffice are from the Writer module that the professor told us to do., (Barriers 13, row 19) It is difficult to find where the toolbars are instantiated.
, (Barriers 13, row 28) I am still trying to fix the bug so it works on Windows.  It is frustrating to have fixed it, but not 
be able to submit it because it did not work on Windows.
, (Barriers 13, row 30) I've tried different methods and I still can not fix it. I will try to change the approach to solve the problem. I give up. I do not feel bad, because I know I did my best under the conditions (lack of time, lack of knowledge in C ++ and things about audio). Just to make it clear, I solved part of the bug, it just was not accepted because it did not work on windows.",
Knowledge on technologies and tools used,,,,"(Barriers 8, row 1) First I search for about 10 minutes on the libreoffice in github, looking for the issues that the document given by the professor commented. In parallel, I also search the official libreoffice website for how to contribute to the project, the following instructions I found will be useful for the programming itself: https://pt.br.libreoffice.org/sobre-nos/codigo-fonte/. The structure of github is still unknown to me, and I'm not sure if the issues I found from libreoffice are from the Writer module that the professor told us to do.",,,,"(Barriers 8, row 1) First I search for about 10 minutes on the libreoffice in github, looking for the issues that the document given by the professor commented. In parallel, I also search the official libreoffice website for how to contribute to the project, the following instructions I found will be useful for the programming itself: https://pt.br.libreoffice.org/sobre-nos/codigo-fonte/. The structure of github is still unknown to me, and I'm not sure if the issues I found from libreoffice are from the Writer module that the professor told us to do.",,"(Barriers 8, row 12) I think I made a mistake, because I just realized that I created a new project on github, but that's not what I want. My goal now is to have a structure inside my machine with some third party code. According to the tutorial, the command ""git init"" would create for me the whole structure, but I am not finding it. I decide to continue another day. First question to be resolved: create and identify repository structure.",,,,,,,,,,,,,,,,,,,,"(Barriers 1, row 1) The Amarok’s main page in the FLOSS COACH already explains that the project was written mostly in C++ (then comes C and other languages), however, I don’t know very much about C++. But okay, let’s see what can I do., (Barriers 1, row 13) Negative Task Points:
Inexperience
C++ Language
Merged languages
Lack of time, (Barriers 6, row 2) 	I ran the command related to my operating system, which in this case was Ubuntu, and in the meantime I clicked on the ""Check your skills"" box, and it appeared what I would have to know to start collaborating with the project, among the requirements of languages ​​like C, C ++, Phyton and Java, there was the use of the Git tool, which I personally had never had a very great contact with, I knew what it was, but I needed to learn how to use the tool better., (Barriers 8, row 1) First I search for about 10 minutes on the libreoffice in github, looking for the issues that the document given by the professor commented. In parallel, I also search the official libreoffice website for how to contribute to the project, the following instructions I found will be useful for the programming itself: https://pt.br.libreoffice.org/sobre-nos/codigo-fonte/. The structure of github is still unknown to me, and I'm not sure if the issues I found from libreoffice are from the Writer module that the professor told us to do., (Barriers 8, row 6) I retake the project activities today, but I must remember the concepts I had previously researched (Pull request and Fork), with a brief reading (2 minutes) I recall those concepts and decide to move forward in collaboration with free software. The current question is what tools should I use, so far there have been two possible IDEs in my mind: Eclipse and Netbeans., (Barriers 8, row 12) I think I made a mistake, because I just realized that I created a new project on github, but that's not what I want. My goal now is to have a structure inside my machine with some third party code. According to the tutorial, the command ""git init"" would create for me the whole structure, but I am not finding it. I decide to continue another day. First question to be resolved: create and identify repository structure., (Barriers 8, row 17) 	Doubt in mind: what will I do with the key I generated in my github account. My next step will be to read the last guide completely, and then proceed with the code in the terminal.
The reading lasted around 20 minutes. I had problem with the internet during the lesson, which cost almost an hour., (Barriers 8, row 39) Note: contribution must be made to the writer (sw) module, and when I first opened the project in Kdevelop I opened the project file in the core folder. But the correct way is to open from inside the SW folder., (Barriers 10, row 1) Today I officially started my journey in an attempt to contribute to a open source project. For me, the idea sounds very interesting: I've been using GNU / Linux for over fifteen years and I've been in the communities of some distros, but I've never been directly involved with bug reporting, nor have I contributed with code. I always thought that I did not have the technical ability to do that.
, (Barriers 10, row 13) Anyway, I cloned Empathy's repository and started to study the code. Honestly, knowing C does not help much. You need to be familiar with the Telepathy API, as well as GObject and GTK.
, (Barriers 10, row 19) Reading documentation and examples for an hour has already helped me to understand a bit more about the structure of GNOME software. However, it is undeniable that the learning curves of these technologies (needed to work on Empathy) are not exactly smooth.
, (Barriers 11, row 36) Now I need to look for some file with the KDE extension, however, I have not found it yet and I don’t know if it was generated, I will check the tutorial again.
, (Barriers 13, row 17) When looking for the documentation, I discovered that they use Doxygen, but only a little bit. I do not understand anything about this, but I'll try to execute it to better understand everything ...
I was able to run Doxygen. I got a better view of how classes relate.
",
Knowledge of versioning control systems,,,,,"(Barriers 5, row 3) I tried to run the project via terminal (around 22:30 PM), but it was too late and I gave up quickly, because I was tired. I got a lot of this installation and I did not get much, tomorrow I will try harder. Again I did not find where I should commit this code.",,,,"(Barriers 8, row 12) I think I made a mistake, because I just realized that I created a new project on github, but that's not what I want. My goal now is to have a structure inside my machine with some third party code. According to the tutorial, the command ""git init"" would create for me the whole structure, but I am not finding it. I decide to continue another day. First question to be resolved: create and identify repository structure.",,,,,,,,,,,,"(Barriers 5, row 2) I downloaded the trunk source code on GitHub, but I could not configure it. Apparently Eclipse did not recognize it.

I don’t know if I can commit in the trunk or if I should commit in another branch., (Barriers 5, row 3) I tried to run the project via terminal (around 22:30 PM), but it was too late and I gave up quickly, because I was tired. I got a lot of this installation and I did not get much, tomorrow I will try harder. Again I did not find where I should commit this code.",,,,,,,,,"(Barriers 5, row 2) I downloaded the trunk source code on GitHub, but I could not configure it. Apparently Eclipse did not recognize it.

I don’t know if I can commit in the trunk or if I should commit in another branch., (Barriers 5, row 3) I tried to run the project via terminal (around 22:30 PM), but it was too late and I gave up quickly, because I was tired. I got a lot of this installation and I did not get much, tomorrow I will try harder. Again I did not find where I should commit this code., (Barriers 8, row 4) Then he begins to explain the main concepts I mentioned earlier. Fork: Used to make a copy of the current repository to mine, where I can change and work on it, it is worth remembering that the original remains intact. With this concept in mind, I am now in doubt whether to ""give a fork"" on the issues I encountered. But this relationship is still confusing in my mind and I can not relate all concepts in one., (Barriers 8, row 5) The next concept present in the blog was the Pull request, which is nothing more that: when I finish my modifications, I send the request through a external submission. Each pull request should contain comments on the modifications I've made. Current question in mind: the fork concept should be applied to every issue that I will modify, or just the project as a whole is sufficient, or both? Possible answer: in the moment I send my pull request I choose a destination, destination in this case, probably my issue. The reading of the concepts in the blog did not take more than 10 minutes., (Barriers 8, row 12) I think I made a mistake, because I just realized that I created a new project on github, but that's not what I want. My goal now is to have a structure inside my machine with some third party code. According to the tutorial, the command ""git init"" would create for me the whole structure, but I am not finding it. I decide to continue another day. First question to be resolved: create and identify repository structure.",
